code,fr
1,Manufacture
2,Construction
3,Commerce
4,Transports
5,Hospitalité
6,Information
7,Finance
8,Immobilier
9,Sciences & techniques
10,Admin.
11,Admin. publique
12,Enseignement
13,Santé & social
14,Arts
15,Autres services
16,Industrie manufacturière
17,Construction
18,Commerce et réparation d’automobiles
19,Transports et entreposage
20,Hébergement et restauration
21,Information et communication
22,Activités financières et d'assurances
23,Activités immobilières
24,"Activ. spécialisées, scientifiques et techniques"
25,Activités de services admin. et de soutien
26,"Admin. publique, défense, sécurité sociale"
27,Enseignement
28,Santé humaine et action sociale 
29,"Arts, spectacles et activités récréatives"
30,Autres activités de services
title,Emploi et salaire mensuel suisse par secteur et par sexe
descr,INTERACTIF: Salaire mensuel médian brut par secteur économique et par sexe en 2012. La taille des bulles est proportionnelle au nombre d'emplois total par secteur économique en 2014. Les salaires bruts correspondent à des équivalents plein temps et tiennent comptent d'éventuelles primes financières.
ylab,salaire mensuel médian des hommes (CHF)
xlab,salaire féminin en % du salaire masculin
ztool,Nombre d'emplois
source,source: Office fédéral de la statistique
